region_name,state_abbr,city_name,total_revenue,num_orders
Southeast,MG,sapucai-mirim,647.16,4
South,RS,lavras do sul,646.56,3
South,PR,ivaí,645.77,2
South,PR,sengés,645.5,5
Central-West,MT,araputanga,645.25,4
Northeast,BA,potiraguá,644.7,7
South,RS,roque gonzales,643.6100000000001,5
Northeast,PI,sao jose do divino,643.33,1
North,TO,colinas do tocantins,643.08,3
South,PR,jesuítas,642.93,4
South,SC,anitápolis,642.38,2
Southeast,SP,uchoa,641.29,3
South,PR,ivaiporã,640.86,7
Southeast,MG,pirapetinga,640.39,7
Northeast,PB,desterro,639.98,1
Northeast,CE,horizonte,639.41,5
Northeast,BA,uibai,639.3599999999999,4
Southeast,RJ,tanguá,636.04,6
South,RS,dom feliciano,635.95,5
Southeast,SP,palestina,634.57,10
Northeast,PE,ilha de itamaraca,632.1500000000001,4
Northeast,PE,jatoba,631.27,4
Northeast,PE,sao lourenco da mata,631.2,3
South,RS,cristal,631.04,3
Northeast,BA,piritiba,630.22,6
Northeast,PE,são josé do egito,630.2,4
Southeast,SP,orindiúva,629.59,5
Northeast,SE,barra dos coqueiros,629.46,3
Northeast,AL,barra de santo antônio,629.12,2
South,PR,terra roxa,629.03,3
Southeast,SP,sales oliveira,627.74,6
Southeast,MG,carai,626.69,6
Northeast,BA,euclides da cunha,625.62,5
Northeast,PE,jaboatao dos guararapes,625.6000000000001,4
Southeast,SP,presidente bernardes,624.07,6
Southeast,MG,itueta,623.79,3
South,RS,são francisco de paula,622.6800000000001,5
North,RO,são miguel do guaporé,622.23,4
Southeast,MG,caldas,621.94,5
Southeast,SP,lavrinhas,621.35,1
Northeast,CE,carius,618.69,3
Northeast,PI,são miguel do tapuio,618.51,3
Northeast,BA,uauá,618.18,4
Southeast,RJ,quatis,617.87,5
Southeast,MG,cachoeira de minas,616.9200000000001,7
Southeast,RJ,cardoso moreira,616.88,6
Central-West,GO,vianopolis,616.76,3
Southeast,MG,alfredo vasconcelos,616.74,3
Southeast,RJ,sao sebastiao do alto,616.7,4
South,SC,iporã do oeste,615.23,6
Northeast,BA,cacule,615.05,3
Northeast,MA,paulino neves,614.63,1
Southeast,MG,martins soares,613.9000000000001,6
Southeast,MG,rio novo,613.25,4
Northeast,CE,icapuí,611.5899999999999,5
Northeast,AL,tanque d'arca,611.54,2
Northeast,BA,una,610.34,5
Central-West,GO,parauna,610.1600000000001,4
Northeast,BA,tanhacu,609.8,4
South,RS,são valentim,609.47,3
Southeast,MG,guimarânia,609.33,4
South,PR,pitanga,607.7099999999999,3
Southeast,MG,teixeiras,607.65,6
Central-West,GO,cachoeira alta,605.4799999999999,6
Northeast,BA,santa cruz cabrália,605.18,5
Southeast,MG,canápolis,604.6800000000001,5
North,PA,curuca,604.45,3
South,RS,tenente portela,604.0500000000001,3
Southeast,MG,conquista,602.4200000000001,6
North,PA,itupiranga,602.38,1
Southeast,SP,cristais paulista,600.64,4
South,RS,nova petrópolis,600.0600000000001,8
Southeast,MG,francisco sa,599.75,3
South,SC,são josé do cedro,598.77,5
South,RS,irai,598.26,2
Northeast,SE,nossa senhora das dores,598.23,1
South,PR,bituruna,598.23,5
Southeast,SP,rifaina,597.77,2
